tephra_name,site,composition,longitude,latitude
Hekla 4 Tephra,1315,No geochemistry data,-8.03,54.42
Hekla 4 Tephra,1316,No geochemistry data,-7.25,55.28
Hekla 4 Tephra,1317,No geochemistry data,-6.23,55.07
Hekla 4 Tephra,1318,No geochemistry data,-6.28,54.77
Hekla 4 Tephra,1319,No geochemistry data,-7.87,53.60
Hekla 4 Tephra,1320,No geochemistry data,-6.85,62.07
Hekla 4 Tephra,1321,No geochemistry data,-7.08,62.30
Hekla 4 Tephra,1322,No geochemistry data,-7.00,62.13
Hekla 4 Tephra,1323,No geochemistry data,6.83,62.02
Hekla 4 Tephra,1324,No geochemistry data,-6.73,62.10
Hekla 4 Tephra,Audkula,Rhyolite,-20.04,65.50
Hekla 4 Tephra,Borge,Rhyolite,13.74,68.25
Hekla 4 Tephra,Brúnavatn,Andesite,-6.86,62.07
Hekla 4 Tephra,Brúnavatn,Dacite,-6.86,62.07
Hekla 4 Tephra,Bæjarvötn,Andesite,-21.44,65.72
Hekla 4 Tephra,Bæjarvötn,Basalt,-21.44,65.72
Hekla 4 Tephra,Bæjarvötn,Basaltic andesite,-21.44,65.72
Hekla 4 Tephra,Claraghmore,Basalt,-7.45,54.63
Hekla 4 Tephra,Claraghmore,Dacite,-7.45,54.63
Hekla 4 Tephra,Claraghmore,Rhyolite,-7.45,54.63
Hekla 4 Tephra,Dead Island Bog,Rhyolite,-6.55,54.89
Hekla 4 Tephra,Eidi,Andesite,-7.04,62.30
Hekla 4 Tephra,Eidi,Dacite,-7.04,62.30
Hekla 4 Tephra,Eidi,Rhyolite,-7.04,62.30
Hekla 4 Tephra,Fenton Cottage,Rhyolite,-2.92,53.90
Hekla 4 Tephra,Fleet Moss,Rhyolite,-2.20,54.25
Hekla 4 Tephra,Garry Bog,Rhyolite,-6.57,55.08
Hekla 4 Tephra,Hreysiskvísl,Andesite,-18.40,64.68
Hekla 4 Tephra,Hreysiskvísl,Rhyolite,-18.40,64.68
Hekla 4 Tephra,Kalfafell,Andesite,-17.67,63.95
Hekla 4 Tephra,Kalfafell,Dacite,-17.67,63.95
Hekla 4 Tephra,Kalfafell,Rhyolite,-17.67,63.95
Hekla 4 Tephra,Kebister,Dacite,-1.16,60.18
Hekla 4 Tephra,Kebister,Rhyolite,-1.16,60.18
Hekla 4 Tephra,Keiths Peat Bank,Andesite,-3.27,58.81
Hekla 4 Tephra,Keiths Peat Bank,Dacite,-3.27,58.81
Hekla 4 Tephra,Keiths Peat Bank,Rhyolite,-3.27,58.81
Hekla 4 Tephra,Klocka Bog,Andesite,12.53,63.30
Hekla 4 Tephra,Klocka Bog,Rhyolite,12.53,63.30
Hekla 4 Tephra,Kortlandamossen (Håltebergsmossen),Rhyolite,12.29,59.85
Hekla 4 Tephra,Kárahnjúkar,Andesite,-15.78,64.94
Hekla 4 Tephra,Kárahnjúkar,Dacite,-15.78,64.94
Hekla 4 Tephra,Kárahnjúkar,Rhyolite,-15.78,64.94
Hekla 4 Tephra,Lairg AG3,Rhyolite,-4.40,57.98
Hekla 4 Tephra,Lake Belau,Rhyolite,10.27,54.10
Hekla 4 Tephra,Lake Furskogstjärnet,Andesite,12.34,59.38
Hekla 4 Tephra,Lake Furskogstjärnet,Dacite,12.34,59.38
Hekla 4 Tephra,Lake Furskogstjärnet,Rhyolite,12.34,59.38
Hekla 4 Tephra,Loch Leir,Dacite,-3.78,58.36
Hekla 4 Tephra,Loch Leir,Rhyolite,-3.78,58.36
Hekla 4 Tephra,Lögurinn,Andesite,-14.60,65.18
Hekla 4 Tephra,Lögurinn,Dacite,-14.60,65.18
Hekla 4 Tephra,Lögurinn ,Rhyolite,-14.60,65.18
Hekla 4 Tephra,MD99-2275,Rhyolite,-19.51,66.50
Hekla 4 Tephra,Malham Tarn,Rhyolite,-2.17,54.10
Hekla 4 Tephra,Mallin Head,Rhyolite,-7.25,55.28
Hekla 4 Tephra,Mjauvotn,Andesite,-7.15,62.24
Hekla 4 Tephra,Mjauvotn,Dacite,-7.15,62.24
Hekla 4 Tephra,Mjauvotn,Rhyolite,-7.15,62.24
Hekla 4 Tephra,Mjáuvøtn,Andesite,-7.00,62.13
Hekla 4 Tephra,Mjáuvøtn,Dacite,-7.00,62.13
Hekla 4 Tephra,Mjáuvøtn,Rhyolite,-7.00,62.13
Hekla 4 Tephra,Mustjärve Bog,Dacite,24.07,59.05
Hekla 4 Tephra,Mustjärve Bog,Rhyolite,24.07,59.05
Hekla 4 Tephra,Núpsstadarskógar,Dacite,-17.45,64.05
Hekla 4 Tephra,Núpsstadarskógar,Rhyolite,-17.45,64.05
Hekla 4 Tephra,Orrastadir,Andesite,-20.19,65.55
Hekla 4 Tephra,Orrastadir,Basaltic andesite,-20.19,65.55
Hekla 4 Tephra,Orrastadir,Rhyolite,-20.19,65.55
Hekla 4 Tephra,Roundhill,Rhyolite,-2.17,57.61
Hekla 4 Tephra,Sammakovuoma,Andesite,21.50,66.99
Hekla 4 Tephra,Sammakovuoma,Dacite,21.50,66.99
Hekla 4 Tephra,Sammakovuoma,Rhyolite,21.50,66.99
Hekla 4 Tephra,Saudárhraukar,Andesite,-15.79,64.83
Hekla 4 Tephra,Saudárhraukar,Dacite,-15.79,64.83
Hekla 4 Tephra,Saudárhraukar,Rhyolite,-15.79,64.83
Hekla 4 Tephra,Sellevollmyra,Rhyolite,15.93,69.10
Hekla 4 Tephra,Skaelingsvatn,Andesite,-6.83,62.03
Hekla 4 Tephra,Skaelingsvatn,Dacite,-6.83,62.03
Hekla 4 Tephra,Skaelingsvatn,Rhyolite,-6.83,62.03
Hekla 4 Tephra,Slethill,Rhyolite,-3.83,58.38
Hekla 4 Tephra,Slieveanorra,Rhyolite,-6.23,55.07
Hekla 4 Tephra,Sluggan Bog,Rhyolite,-6.29,54.77
Hekla 4 Tephra,Snæfell,Andesite,-15.47,64.88
Hekla 4 Tephra,Snæfell,Dacite,-15.47,64.88
Hekla 4 Tephra,Snæfell,Rhyolite,-15.47,64.88
Hekla 4 Tephra,Solheimahals,Rhyolite,-20.06,65.53
Hekla 4 Tephra,"Station Hill, Altnabreac",Andesite,-3.70,58.38
Hekla 4 Tephra,"Station Hill, Altnabreac",Dacite,-3.70,58.38
Hekla 4 Tephra,"Station Hill, Altnabreac",Rhyolite,-3.70,58.38
Hekla 4 Tephra,Steinadalur,Andesite,-15.97,64.16
Hekla 4 Tephra,Steinadalur,Dacite,-15.97,64.16
Hekla 4 Tephra,Steinadalur,Rhyolite,-15.97,64.16
Hekla 4 Tephra,Stóravatn,Dacite,-6.86,62.07
Hekla 4 Tephra,Stóravatn,Rhyolite,-6.86,62.07
Hekla 4 Tephra,Stömyren,Rhyolite,13.25,60.39
Hekla 4 Tephra,Svartkälsjärn,Andesite,19.55,64.26
Hekla 4 Tephra,Svartkälsjärn,Dacite,19.55,64.26
Hekla 4 Tephra,Svartkälsjärn,Rhyolite,19.55,64.26
Hekla 4 Tephra,Svinadalur,Rhyolite,-20.07,65.50
Hekla 4 Tephra,Tiefer See,Rhyolite,12.53,53.59
Hekla 4 Tephra,Tungunesmuli,Rhyolite,-19.96,65.51
Hekla 4 Tephra,Unst,Andesite,-0.92,60.72
Hekla 4 Tephra,Unst,Dacite,-0.92,60.72
Hekla 4 Tephra,Unst,Rhyolite,-0.92,60.72
Hekla 4 Tephra,Ängstugsmossen (informal name),Rhyolite,14.85,58.27
